ReportDate,DataYearMonth,CompanyCode,CompanyName,Industry,CurrentRevenue,LastMonthRevenue,LastYearSameMonthRevenue,MonthlyChangePercent,YearlyChangePercent,CumulativeCurrentRevenue,CumulativeLastYearRevenue,CumulativeChangePercent,Remarks
"1131117","11310","4722","國精化","化學工業","295922","318145","278809","-6.98517971365258","6.1378936834894136","3370485","2780133","21.23466755007764","-"
"1131117","11310","4736","泰博","生技醫療業","394852","441740","388000","-10.614388554353239","1.765979381443299","3868583","4116464","-6.021697262504907","-"
"1131117","11310","4737","華廣","生技醫療業","177974","162080","176451","9.806268509378086","0.8631291406679474","1609504","1442361","11.588153035197152","-"
"1131117","11310","4739","康普","化學工業","304470","326116","353653","-6.637515485287444","-13.90713495997489","3495561","4504165","-22.392696537538033","-"
"1131117","11310","4746","台耀","生技醫療業","381063","365234","402586","4.333933861579152","-5.3461869016806345","3760564","3550715","5.91004910278634","-"
"1131117","11310","4755","三福化","化學工業","407258","351865","419200","15.742685404913816","-2.848759541984733","3976441","4094776","-2.889901669834931","-"
"1131117","11310","4763","材料-KY","化學工業","1415965","1501614","1241760","-5.703796048784841","14.028878366189923","12596458","8430627","49.41306263460594","-"
"1131117","11310","4764","雙鍵","化學工業","250436","270644","168494","-7.466635136932649","48.631998765534675","2193535","1834986","19.539604116870645","-"
"1131117","11310","4766","南寶","化學工業","2090536","1976467","1876873","5.771358692050006","11.383988154765932","18951621","16940654","11.870657413816492","-"
"1131117","11310","4770","上品","化學工業","546920","610962","418569","-10.482157646465737","30.664239348828985","5387197","4822466","11.710419523953098","-"
"1131117","11310","4771","望隼","生技醫療業","311009","259008","294506","20.076986039041266","5.603620978859514","2551257","2060144","23.83877049371306","-"
"1131117","11310","4807","日成-KY","貿易百貨","230416","201814","141972","14.172455825661253","62.29679091651875","1445892","950762","52.0771759914679","由於產業旺季訂單量持續增長，本月合併收入較去年同期成長62.3%。"
"1131117","11310","4904","遠傳","通信網路業","9843541","9121101","8923135","7.920535031900206","10.314827692285279","85298807","76147157","12.01837384421325","-"
"1131117","11310","4906","正文","通信網路業","2014560","1640092","1821600","22.832133807127892","10.59288537549407","21559922","22057140","-2.254226975936137","-"
"1131117","11310","4912","聯德控股-KY","電子零組件業","418623","507825","404568","-17.565499926155663","3.474076051491962","4685466","3862869","21.294975314979617","-"
"1131117","11310","4915","致伸","電子零組件業","4643337","5367441","4984562","-13.490674606390643","-6.84563658752765","49668658","51450209","-3.4626700933323713","-"
"1131117","11310","4916","事欣科","電腦及週邊設備業","284118","264983","330225","7.221217964926052","-13.962298432886667","3046535","2858179","6.590070111074219","-"
"1131117","11310","4919","新唐","半導體業","2310485","2708378","2865741","-14.691191554502362","-19.375651882008878","26963471","29744156","-9.348676761915854","-"
"1131117","11310","4927","泰鼎-KY","電子零組件業","1011854","987417","1019484","2.4748409233383666","-0.7484178270576095","10390340","10562588","-1.6307367096018515","10月份自結數"
